date,home_team,away_team,home_score,away_score,tournament,country
2022-06-06,Croatia,France,1,1,UEFA Nations League,Croatia
2022-06-06,Iceland,Albania,1,1,UEFA Nations League,Iceland
2022-06-06,Belarus,Azerbaijan,0,0,UEFA Nations League,Serbia
2022-06-06,Slovakia,Kazakhstan,0,1,UEFA Nations League,Slovakia
2022-06-06,Latvia,Liechtenstein,1,0,UEFA Nations League,Latvia
2022-06-06,Andorra,Moldova,0,0,UEFA Nations League,Andorra
2022-06-06,South Korea,Chile,2,0,Friendly,South Korea
2022-06-06,Japan,Brazil,0,1,Friendly,Japan
2022-06-07,Germany,England,1,1,UEFA Nations League,Germany
2022-06-07,Italy,Hungary,2,1,UEFA Nations League,Italy
2022-06-07,Finland,Montenegro,2,0,UEFA Nations League,Finland
2022-06-07,Bosnia and Herzegovina,Romania,1,0,UEFA Nations League,Bosnia and Herzegovina
2022-06-07,Faroe Islands,Luxembourg,0,1,UEFA Nations League,Faroe Islands
2022-06-07,Lithuania,Turkey,0,6,UEFA Nations League,Lithuania
2022-06-08,Wales,Netherlands,1,2,UEFA Nations League,Wales
2022-06-08,Belgium,Poland,6,1,UEFA Nations League,Belgium
2022-06-08,Republic of Ireland,Ukraine,0,1,UEFA Nations League,Republic of Ireland
2022-06-08,Scotland,Armenia,2,0,UEFA Nations League,Scotland
2022-06-09,Portugal,Czech Republic,2,0,UEFA Nations League,Portugal
2022-06-09,Switzerland,Spain,0,1,UEFA Nations League,Switzerland
2022-06-09,Norway,Slovenia,0,0,UEFA Nations League,Norway
2022-06-09,Sweden,Serbia,0,1,UEFA Nations League,Sweden
2022-06-09,Kosovo,Northern Ireland,3,2,UEFA Nations League,Kosovo
2022-06-09,Greece,Cyprus,3,0,UEFA Nations League,Greece
2022-06-09,Gibraltar,Bulgaria,1,1,UEFA Nations League,Gibraltar
2022-06-09,North Macedonia,Georgia,0,3,UEFA Nations League,North Macedonia
2022-06-09,Malta,Estonia,1,2,UEFA Nations League,Malta
2022-06-09,New Zealand,Oman,0,0,Friendly,Qatar
2022-06-09,San Marino,Iceland,0,1,Friendly,San Marino
2022-06-09,Saudi Arabia,Venezuela,0,1,Friendly,Spain
2022-06-10,Austria,France,1,1,UEFA Nations League,Austria
2022-06-10,Denmark,Croatia,0,1,UEFA Nations League,Denmark
2022-06-10,Albania,Israel,1,2,UEFA Nations League,Albania
2022-06-10,Azerbaijan,Slovakia,0,1,UEFA Nations League,Azerbaijan
2022-06-10,Belarus,Kazakhstan,1,1,UEFA Nations League,Serbia
2022-06-10,Moldova,Latvia,2,4,UEFA Nations League,Moldova
2022-06-10,Andorra,Liechtenstein,2,1,UEFA Nations League,Andorra
2022-06-10,South Korea,Paraguay,2,2,Friendly,South Korea
2022-06-11,England,Italy,0,0,UEFA Nations League,England
2022-06-11,Hungary,Germany,1,1,UEFA Nations League,Hungary
2022-06-11,Wales,Belgium,1,1,UEFA Nations League,Wales
2022-06-11,Netherlands,Poland,2,2,UEFA Nations League,Netherlands
2022-06-11,Ukraine,Armenia,3,0,UEFA Nations League,Poland
2022-06-11,Republic of Ireland,Scotland,3,0,UEFA Nations League,Republic of Ireland
2022-06-11,Montenegro,Bosnia and Herzegovina,1,1,UEFA Nations League,Montenegro
2022-06-11,Romania,Finland,1,0,UEFA Nations League,Romania
2022-06-11,Faroe Islands,Lithuania,2,1,UEFA Nations League,Faroe Islands
2022-06-11,Luxembourg,Turkey,0,2,UEFA Nations League,Luxembourg
2022-06-11,Ecuador,Cape Verde,1,0,Friendly,United States
2022-06-11,Uruguay,Panama,5,0,Friendly,Uruguay
2022-06-12,Spain,Czech Republic,2,0,UEFA Nations League,Spain
2022-06-12,Switzerland,Portugal,1,0,UEFA Nations League,Switzerland
2022-06-12,Norway,Sweden,3,2,UEFA Nations League,Norway
2022-06-12,Slovenia,Serbia,2,2,UEFA Nations League,Slovenia
2022-06-12,Northern Ireland,Cyprus,2,2,UEFA Nations League,Northern Ireland
2022-06-12,Greece,Kosovo,2,0,UEFA Nations League,Greece
2022-06-12,North Macedonia,Gibraltar,4,0,UEFA Nations League,North Macedonia
