date,home,visitor,hgoal,vgoal,FT,Season,result
2019-09-24,Real Valladolid,Granada CF,1,1,1-1,2019,D
2019-09-24,Real Betis,Levante UD,3,1,3-1,2019,H
2019-09-24,FC Barcelona,Villarreal CF,2,1,2-1,2019,H
2019-09-25,CD Leganes,Athletic Bilbao,1,1,1-1,2019,D
2019-09-25,RCD Mallorca,Atletico Madrid,0,2,0-2,2019,A
2019-09-25,Valencia CF,Getafe CF,3,3,3-3,2019,D
2019-09-25,Real Madrid,CA Osasuna,2,0,2-0,2019,H
2019-09-26,SD Eibar,Sevilla FC,3,2,3-2,2019,H
2019-09-26,Celta Vigo,Espanyol Barcelona,1,1,1-1,2019,D
2019-09-26,Real Sociedad,CD Alaves,3,0,3-0,2019,H
2019-09-27,Villarreal CF,Real Betis,5,1,5-1,2019,H
2019-09-28,Athletic Bilbao,Valencia CF,0,1,0-1,2019,A
2019-09-28,Getafe CF,FC Barcelona,0,2,0-2,2019,A
2019-09-28,Granada CF,CD Leganes,1,0,1-0,2019,H
2019-09-28,Atletico Madrid,Real Madrid,0,0,0-0,2019,D
2019-09-29,Espanyol Barcelona,Real Valladolid,0,2,0-2,2019,A
2019-09-29,SD Eibar,Celta Vigo,2,0,2-0,2019,H
2019-09-29,CD Alaves,RCD Mallorca,2,0,2-0,2019,H
2019-09-29,Levante UD,CA Osasuna,1,1,1-1,2019,D
2019-09-29,Sevilla FC,Real Sociedad,3,2,3-2,2019,H
2019-10-04,Real Betis,SD Eibar,1,1,1-1,2019,D
2019-10-05,CD Leganes,Levante UD,1,2,1-2,2019,A
2019-10-05,Real Madrid,Granada CF,4,2,4-2,2019,H
2019-10-05,Valencia CF,CD Alaves,2,1,2-1,2019,H
2019-10-05,CA Osasuna,Villarreal CF,2,1,2-1,2019,H
2019-10-06,RCD Mallorca,Espanyol Barcelona,2,0,2-0,2019,H
2019-10-06,Celta Vigo,Athletic Bilbao,1,0,1-0,2019,H
2019-10-06,Real Valladolid,Atletico Madrid,0,0,0-0,2019,D
2019-10-06,Real Sociedad,Getafe CF,1,2,1-2,2019,A
2019-10-06,FC Barcelona,Sevilla FC,4,0,4-0,2019,H
2019-10-18,Granada CF,CA Osasuna,1,0,1-0,2019,H
2019-10-19,SD Eibar,FC Barcelona,0,3,0-3,2019,A
2019-10-19,Atletico Madrid,Valencia CF,1,1,1-1,2019,D
2019-10-19,Getafe CF,CD Leganes,2,0,2-0,2019,H
2019-10-19,RCD Mallorca,Real Madrid,1,0,1-0,2019,H
